latitude,longitude,Protocol,Address,capture_file,capture_time,IP,Country,City,District,Avg_Duration,Avg_Uplink_Duration,Avg_Downlink_Duration,Avg_Time_Interval,Avg_Time_Interval_Uplink,Avg_Time_Interval_Downlink,Avg_Burst_Duration,Avg_Burst_Duration_Uplink,Avg_Burst_Duration_Downlink,Avg_Window_Size,Avg_Window_Size_Uplink,Avg_Window_Size_Downlink,Avg_Zero_Payload_Ratio,Avg_Effective_Tcp_Payload,Avg_Zero_Payload_Ratio_Uplink,Avg_Effective_Tcp_Payload_Uplink,Avg_Zero_Payload_Ratio_Downlink,Avg_Effective_Tcp_Payload_Downlink,Up_Down_Ratio,Avg_Burst_Lenth,Avg_Burst_lenth_Uplink,Avg_Burst_lenth_Downlink,Avg_Ack_Rtt,Avg_Ack_Rtt_Uplink,Avg_Ack_Rtt_Downlink,Avg_Initial_rtt,Avg_Payload_Throughput,Avg_Payload_Throughput_Uplink,Avg_Payload_Throughput_Downlink,Avg_Packet_Throughput,Avg_Packet_Throughput_Uplink,Avg_Packet_Throughput_Downlink,IPint,Cidr24_Network,Cidr24_Int,jsonpath
39.988524959469,116.34066549277,https,北京市 北京市 海淀区 中关村南二条 甲334楼-101号,pcap_data/223.104.41.95_capture_2024-05-24_13-39-21.pcap,2024-05-24_13-39-21,223.104.41.95,中国,北京市,海淀区,3.002459,2.9925534999999996,2.9835119999999997,0.0039504529424977545,0.007781696446446437,0.006231490629183396,0.00726517382315521,0.0025319415422885346,0.012960450581395366,192169.62855177702,292300.4796195652,61347.34068843778,0.612912682662818,1740.3082420924575,0.8315217391304348,351.5,0.3218225948808473,1786.7172982885086,1.2153574580759048,2.099099099099099,2.269246519246519,1.928951678951679,0.013566607746478873,0.017438637393767706,6.4e-05,0.012437,258980.42090306527,773.1906252876247,259228.63715136997,207.549045012941,118.18411114503233,89.31016277950171,3748145503,223.104.41.0/24,3748145408,json_data\223.104.41.95_capture_2024-05-24_13-39-21.json
39.947812594082,116.3599782241,https,北京市 北京市 西城区 高粱桥路 6号,pcap_data/223.104.41.95_capture_2024-05-24_14-35-13.pcap,2024-05-24_14-35-13,223.104.41.95,中国,北京市,西城区,0.479366,0.44444900000000004,0.454743,0.000804401709401709,0.009441222222222228,0.0011184615384615382,0.010810986111111113,0.0017736666666666708,0.018907499999999997,97127.71126760563,163739.21276595743,64172.54736842105,0.34507042253521125,2867.8709677419356,0.9148936170212766,544.25,0.06315789473684211,2972.303370786517,0.49473684210526314,3.888888888888889,2.5,5.277777777777778,0.026869288888888888,0.03194279487179487,6.525e-05,0.034978999999999996,556384.8917111352,4898.199793452117,581724.1826702115,294.1385079459119,103.49893913587385,206.71016376282867,3748145503,223.104.41.0/24,3748145408,json_data\223.104.41.95_capture_2024-05-24_14-35-13.json
39.981126086274,116.31287894305,https,北京市 北京市 海淀区 海淀南路 12号楼,pcap_data/223.104.41.15_capture_2024-06-08_06-53-08.pcap,2024-06-08_06-53-08,223.104.41.15,中国,北京市,海淀区,0.365638,0.345883,0.34655400000000003,0.0007191078431372538,0.005583638888888889,0.0007684848484848475,0.006330104166666665,0.004974229166666663,0.003908904761904761,77195.832,102017.46511627907,64179.60975609756,0.36,2479.7,0.8837209302325582,438.2,0.08536585365853659,2615.8,0.524390243902439,2.4583333333333335,1.5,3.4166666666666665,0.019844766666666663,0.019991370370370368,0.0005268333333333333,0.019843,542547.5470273878,6334.511959246335,566102.2524628196,339.13324107450535,121.42834426670291,233.72980834155715,3748145423,223.104.41.0/24,3748145408,json_data\223.104.41.15_capture_2024-06-08_06-53-08.json
40.038407784192,116.31874052132,https,北京市 北京市 海淀区 信息路 16号,pcap_data/223.104.40.234_capture_2024-06-06_20-40-50.pcap,2024-06-06_20-40-50,223.104.40.234,中国,北京市,海淀区,0.475644,0.456019,0.456385,0.0003040878136200716,1.786904761904748e-05,0.0008067142857142844,0.007907644444444447,0.005543958333333335,0.009538875,230431.75,317096.558685446,64129.00900900901,0.6635802469135802,2548.3119266055046,0.9765258215962441,438.2,0.06306306306306306,2649.7596153846152,1.9189189189189189,7.0,9.173913043478262,4.826086956521739,0.011804078947368419,0.011804078947368419,0.0005003333333333333,0.019673000000000003,583978.7740410896,4804.624368721478,603821.3350570243,679.0793114177831,464.8929101638309,241.02457355083976,3748145386,223.104.40.0/24,3748145152,json_data\223.104.40.234_capture_2024-06-06_20-40-50.json
39.99736236676,116.34372292256,https,北京市 北京市 海淀区 荷清路 ,pcap_data/223.104.41.186_capture_2024-06-07_22-27-48.pcap,2024-06-07_22-27-48,223.104.41.186,中国,北京市,海淀区,0.932775,0.859741,0.904595,0.0009756124031007767,0.00466073148148148,0.0015182222222222225,0.00420574074074074,0.0014453333333333354,0.005891124999999997,78617.23225806451,101487.98333333334,64172.54736842105,0.3935483870967742,2488.553191489362,0.9166666666666666,440.2,0.06315789473684211,2603.629213483146,0.631578947368421,2.5,1.7241379310344827,3.2758620689655173,0.03749135897435898,0.03749135897435898,0.00038241666666666665,0.07311800000000002,250782.87904371365,2560.073324408165,256162.14991239173,165.09876443944145,68.62531855523932,103.91390622322696,3748145594,223.104.41.0/24,3748145408,json_data\223.104.41.186_capture_2024-06-07_22-27-48.json
39.993165029712,116.32878233009,https,北京市 北京市 海淀区 北四环西路 33号-112房间,pcap_data/223.104.40.175_capture_2024-06-03_22-10-16.pcap,2024-06-03_22-10-16,223.104.40.175,中国,北京市,海淀区,0.509081,0.48993099999999995,0.481082,0.0006396078431372523,0.009284527777777775,0.0007657430555555563,0.0062005625,0.005944875000000002,0.0034526190476190416,78872.5546875,112411.8717948718,64175.550561797754,0.3203125,2500.0919540229884,0.8717948717948718,438.2,0.07865168539325842,2625.817073170732,0.43820224719101125,2.5,1.44,3.56,0.01996216666666667,0.020063666666666667,0.0004901666666666666,0.01926400000000001,427256.173379089,4472.058310251852,447568.1900382887,249.46914145293184,77.56194239597005,182.9209989149459,3748145327,223.104.40.0/24,3748145152,json_data\223.104.40.175_capture_2024-06-03_22-10-16.json
40.023101679799,116.30844303854,https,北京市 北京市 海淀区 小清河路 ,pcap_data/223.104.41.193_capture_2024-06-07_12-28-25.pcap,2024-06-07_12-28-25,223.104.41.193,中国,北京市,海淀区,0.545275,0.525061,0.510671,0.0007887063492063485,0.00546642222222222,0.000962849462365592,0.003992233333333333,0.0008703333333333264,0.005177833333333342,90569.91975308642,149715.18,64165.78571428572,0.3148148148148148,3141.945945945946,0.9,438.2,0.05357142857142857,3269.4811320754716,0.44642857142857145,2.40625,1.3125,3.5,0.024659242424242424,0.024822848484848482,0.001258,0.020349000000000003,639596.533859062,4172.848488080433,678646.3300246147,295.2638576864885,93.32249014876366,217.36107983417895,3748145601,223.104.41.0/24,3748145408,json_data\223.104.41.193_capture_2024-06-07_12-28-25.json
40.027539421637,116.30865309108,https,北京市 北京市 海淀区 树村路 ,pcap_data/223.104.41.173_capture_2024-05-23_19-56-26.pcap,2024-05-23_19-56-26,223.104.41.173,中国,北京市,海淀区,0.37972,0.35997199999999996,0.353179,0.00031865454545454587,0.00018930392156862866,0.0008702058823529421,0.006426791666666667,0.004570972222222224,0.008358055555555554,190651.0904522613,257804.79230769232,64129.6231884058,0.6633165829145728,2431.7014925373132,0.9615384615384616,438.2,0.10144927536231885,2592.467741935484,1.8840579710144927,5.388888888888889,6.944444444444445,3.8333333333333335,0.012480307017543858,0.012480307017543858,0.0006302500000000001,0.019835999999999993,429063.5204887812,6086.584512128722,455103.50275639264,521.4368482039397,358.36120587156785,192.53692886609906,3748145581,223.104.41.0/24,3748145408,json_data\223.104.41.173_capture_2024-05-23_19-56-26.json
40.033158874534,116.31853922075,https,北京市 北京市 海淀区 农大南路 1号院-4号楼,pcap_data/223.104.40.234_capture_2024-06-06_21-06-56.pcap,2024-06-06_21-06-56,223.104.40.234,中国,北京市,海淀区,0.480327,0.455482,0.45516,0.00032067460317460256,0.0012885999999999998,0.0008375111111111093,0.007138370370370369,0.005787566666666665,0.009285,178145.72611464967,243134.71,64129.9649122807,0.6369426751592356,2376.9824561403507,0.95,440.2,0.08771929824561403,2563.2115384615386,1.7543859649122806,5.066666666666666,6.333333333333333,3.8,0.010933861111111111,0.010933861111111111,7.7e-05,0.02492900000000001,282074.50341121777,4832.243645193444,292835.486422357,324.77874448032276,217.35216759388956,123.03365849371649,3748145386,223.104.40.0/24,3748145152,json_data\223.104.40.234_capture_2024-06-06_21-06-56.json
40.030433034249,116.30147991749,https,北京市 北京市 海淀区 农大南路 43号,pcap_data/223.104.40.136_capture_2024-06-06_16-29-45.pcap,2024-06-06_16-29-45,223.104.40.136,中国,北京市,海淀区,0.6547959999999999,0.634903,0.639358,0.00021950602409638503,1.0032051282051264e-05,0.0006611594202898561,0.007293633333333335,0.006255380952380947,0.008175761904761911,227721.69205298013,308708.11386138614,64129.12,0.6721854304635762,2528.4848484848485,0.9752475247524752,438.2,0.06,2639.6702127659573,2.02,6.5,8.652173913043478,4.3478260869565215,0.010279991452991454,0.010279991452991454,6.575e-05,0.019967999999999993,382287.0023640951,3450.92084932659,388090.8661501068,459.6851538494432,316.5837931148538,154.84282671054402,3748145288,223.104.40.0/24,3748145152,json_data\223.104.40.136_capture_2024-06-06_16-29-45.json
