latitude,longitude,Protocol,Address,capture_file,capture_time,IP,Country,City,District
40.024435497841,116.31480179205,https,北京市 北京市 海淀区 滨河路 ,pcap_data/223.104.40.236_capture_2024-05-30_18-17-50.pcap,2024-05-30_18-17-50,223.104.40.236,中国,北京市,海淀区
40.024021873145,116.31949579,https,北京市 北京市 海淀区 滨河路 ,pcap_data/223.104.40.236_capture_2024-05-30_18-41-01.pcap,2024-05-30_18-41-01,223.104.40.236,中国,北京市,海淀区
40.024249816009,116.32286034019,https,北京市 北京市 海淀区 S50(厢白旗桥) ,pcap_data/223.104.40.236_capture_2024-05-30_18-46-14.pcap,2024-05-30_18-46-14,223.104.40.236,中国,北京市,海淀区
40.024995124135,116.32294746979,https,北京市 北京市 海淀区 滨河路 ,pcap_data/223.104.40.236_capture_2024-05-30_18-53-05.pcap,2024-05-30_18-53-05,223.104.40.236,中国,北京市,海淀区
40.025135079979,116.32160115912,https,北京市 北京市 海淀区 信息路 62号,pcap_data/223.104.40.236_capture_2024-05-30_18-59-21.pcap,2024-05-30_18-59-21,223.104.40.236,中国,北京市,海淀区
40.026087662592,116.3209869764,https,北京市 北京市 海淀区 信息路 58,pcap_data/223.104.40.236_capture_2024-05-30_19-00-24.pcap,2024-05-30_19-00-24,223.104.40.236,中国,北京市,海淀区
40.029915454712,116.32050040909,https,北京市 北京市 海淀区 信息路 ,pcap_data/223.104.40.236_capture_2024-05-30_19-02-44.pcap,2024-05-30_19-02-44,223.104.40.236,中国,北京市,海淀区
40.035470356283,116.32234670822,https,北京市 北京市 海淀区 上地南路 12-6号,pcap_data/223.104.40.236_capture_2024-05-30_20-59-58.pcap,2024-05-30_20-59-58,223.104.40.236,中国,北京市,海淀区
39.906253424372,116.38255120569,https,北京市 北京市 西城区 前门西大街 139号,pcap_data/223.104.40.236_capture_2024-05-31_16-42-17.pcap,2024-05-31_16-42-17,223.104.40.236,中国,北京市,西城区
39.906261111491,116.38275883663,https,北京市 北京市 西城区 前门西大街 137,pcap_data/223.104.40.236_capture_2024-05-31_16-43-54.pcap,2024-05-31_16-43-54,223.104.40.236,中国,北京市,西城区
39.906324147397,116.38359854548,https,北京市 北京市 西城区 前门西大街 乙135号,pcap_data/223.104.40.236_capture_2024-05-31_16-45-01.pcap,2024-05-31_16-45-01,223.104.40.236,中国,北京市,西城区
39.906373295467,116.38462769799,https,北京市 北京市 西城区 前门西大街 135号-东门,pcap_data/223.104.40.236_capture_2024-05-31_16-46-22.pcap,2024-05-31_16-46-22,223.104.40.236,中国,北京市,西城区
39.916699845525,116.38023875024,https,北京市 北京市 西城区 西单北大街 131号,pcap_data/223.104.40.236_capture_2024-05-31_21-42-12.pcap,2024-05-31_21-42-12,223.104.40.236,中国,北京市,西城区
39.916646389927,116.38035742146,https,北京市 北京市 西城区 西单北大街 148号,pcap_data/223.104.40.236_capture_2024-05-31_21-48-42.pcap,2024-05-31_21-48-42,223.104.40.236,中国,北京市,西城区
39.916650589375,116.3801091128,https,北京市 北京市 西城区 西单北大街 131号0405室,pcap_data/223.104.40.236_capture_2024-05-31_21-56-40.pcap,2024-05-31_21-56-40,223.104.40.236,中国,北京市,西城区
39.984655193451,116.34191807372,https,北京市 北京市 海淀区 中关村南四街 8号,pcap_data/223.104.40.236_capture_2024-05-31_22-59-40.pcap,2024-05-31_22-59-40,223.104.40.236,中国,北京市,海淀区
39.984747197987,116.3419730032,https,北京市 北京市 海淀区 中关村南四街 8号,pcap_data/223.104.40.236_capture_2024-05-31_23-00-47.pcap,2024-05-31_23-00-47,223.104.40.236,中国,北京市,海淀区
39.98718462229,116.34113512568,https,北京市 北京市 海淀区 中关村南四街 323号楼,pcap_data/223.104.40.236_capture_2024-05-31_23-06-21.pcap,2024-05-31_23-06-21,223.104.40.236,中国,北京市,海淀区
39.988515932657,116.3400335121,https,北京市 北京市 海淀区 中关村东路 91号,pcap_data/223.104.40.236_capture_2024-05-31_23-21-31.pcap,2024-05-31_23-21-31,223.104.40.236,中国,北京市,海淀区
39.988662889546,116.34009201139,https,北京市 北京市 海淀区 中关村东路 74号,pcap_data/223.104.40.236_capture_2024-05-31_23-22-40.pcap,2024-05-31_23-22-40,223.104.40.236,中国,北京市,海淀区
39.98854640647,116.34015204539,https,北京市 北京市 海淀区 中关村东路 78号,pcap_data/223.104.40.236_capture_2024-05-31_23-24-01.pcap,2024-05-31_23-24-01,223.104.40.236,中国,北京市,海淀区
39.99152671363,116.33986774468,https,北京市 北京市 海淀区 中关村东路 50号,pcap_data/223.104.40.236_capture_2024-05-31_23-26-22.pcap,2024-05-31_23-26-22,223.104.40.236,中国,北京市,海淀区
39.991771919424,116.33271514236,https,北京市 北京市 海淀区 北四环西路 19号,pcap_data/223.104.40.236_capture_2024-05-31_23-27-29.pcap,2024-05-31_23-27-29,223.104.40.236,中国,北京市,海淀区
39.993422070584,116.32284770231,https,北京市 北京市 海淀区 中关村北大街 166-2号,pcap_data/223.104.40.236_capture_2024-05-31_23-28-42.pcap,2024-05-31_23-28-42,223.104.40.236,中国,北京市,海淀区
40.028136729249,116.30847871157,https,北京市 北京市 海淀区 树村街 49号,pcap_data/223.104.40.236_capture_2024-06-01_19-28-54.pcap,2024-06-01_19-28-54,223.104.40.236,中国,北京市,海淀区
40.04094186103,116.3179579636,https,北京市 北京市 海淀区 信息路 甲28-3,pcap_data/223.104.41.12_capture_2024-06-03_00-13-23.pcap,2024-06-03_00-13-23,223.104.41.12,中国,北京市,海淀区
40.040734054682,116.31778204743,https,北京市 北京市 海淀区 信息路 甲28-4号,pcap_data/223.104.41.12_capture_2024-06-03_00-14-32.pcap,2024-06-03_00-14-32,223.104.41.12,中国,北京市,海淀区
39.933546257863,116.31701516375,https,北京市 北京市 海淀区 西三环北路 82-1号,pcap_data/223.104.40.175_capture_2024-06-03_18-15-57.pcap,2024-06-03_18-15-57,223.104.40.175,中国,北京市,海淀区
39.933501200957,116.31694201419,https,北京市 北京市 海淀区 西三环北路 82-1号,pcap_data/223.104.40.175_capture_2024-06-03_18-17-10.pcap,2024-06-03_18-17-10,223.104.40.175,中国,北京市,海淀区
39.933611953779,116.31692261959,https,北京市 北京市 海淀区 西三环北路 82-1号,pcap_data/223.104.40.175_capture_2024-06-03_18-18-17.pcap,2024-06-03_18-18-17,223.104.40.175,中国,北京市,海淀区
39.993165029712,116.32878233009,https,北京市 北京市 海淀区 北四环西路 33号-112房间,pcap_data/223.104.40.175_capture_2024-06-03_22-10-16.pcap,2024-06-03_22-10-16,223.104.40.175,中国,北京市,海淀区
39.993348436828,116.32898600971,https,北京市 北京市 海淀区 中关村北一条 甲15号,pcap_data/223.104.40.175_capture_2024-06-03_22-14-48.pcap,2024-06-03_22-14-48,223.104.40.175,中国,北京市,海淀区
